QID,Quotes
1,“The purpose of our lives is to be happy.” — Dalai Lama
2,“Life is what happens when you’re busy making other plans.” — John Lennon
3,“Many of life’s failures are people who did not realize how close they were to success when they gave up.”– Thomas A. Edison
4,“Money and success don’t change people; they merely amplify what is already there.” — Will Smith
5," “Your time is limited, so don’t waste it living someone else’s life.\n  Don’t be trapped by dogma – which is living with the results of other people’s thinking.” – Steve Jobs"
6,"“If life were predictable it would cease to be life, and be without flavor.” – Eleanor Roosevelt"
7,"“The big lesson in life, baby, is never be scared of anyone or anything.”– Frank Sinatra"
8,"“Sing like no one’s listening, love like you’ve never been hurt, \n dance like nobody’s watching, and live like it’s heaven on earth.” "
9,"“Do all the good you can, for all the people you can, in all the ways you can, as long as you can.” — Hillary Clinton "
10,"“Everybody wants to be famous, but nobody wants to do the work. I live by that.\n  You grind hard so you can play hard. At the end of the day, you put all the work in, and eventually it’ll pay off.\n  It could be in a year, it could be in 30 years. Eventually, your hard work will pay off.” — Kevin Hart"
11,“I like criticism. It makes you strong.” — LeBron James
12,"“Everything negative – pressure, challenges – is all an opportunity for me to rise.” — Kobe Bryant"
13,"“Life imposes things on you that you can’t control,\n but you still have the choice of how you’re going to live through this.” — Celine Dion"
14,“Live for each second without hesitation.” — Elton John
15,"“Your work is going to fill a large part of your life, \n and the only way to be truly satisfied is to do what you believe is great work.\n  And the only way to do great work is to love what you do. \n If you haven’t found it yet, keep looking. Don’t settle. \n As with all matters of the heart, you’ll know when you find it.” — Steve Jobs"
16,"“When we do the best we can, we never know what miracle is wrought in our life or the life of another.” — Helen Keller"
17," Watch your words; they become actions. Watch your actions; they become habits.\n Watch your habits; they become character. \n Watch your character; it becomes your destiny.-Lao-Tze',"
18,“Keep calm and carry on.” — Winston Churchill
19,"“Health is the greatest gift, contentment the greatest wealth, faithfulness the best relationship.” — Buddha"
20,"“Life is about making an impact, not making an income.” — Kevin Kruse"
21,“The two most important days in your life are the day you are born and the day you find out why.” – Mark Twain
22,"“When I was 5 years old, my mother always told me that happiness was the key to life.  \n When I went to school, they asked me what I wanted to be when I grew up. \n  I wrote down ‘happy’.\n  They told me I didn’t understand the assignment, and I told them they didn’t understand life.” – John Lennon"
23,“Too many of us are not living our dreams because we are living our fears.” – Les Brown
24,“Live as if you were to die tomorrow. Learn as if you were to live forever.” —Mahatma Gandhi
25," “Don’t cry because it’s over, smile because it happened.” —Dr. Seuss "
